text_to_classify,predicted_code,predicted_label,prediction_probability
@ml_sample,8989,Mental Disorders,0.1
big toe joint,8994,Musculoskeletal - Foot,0.66
lumbar degenerative disc disease,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.95
anger,8989,Mental Disorders,0.77
mood swings,8989,Mental Disorders,0.81
insomnia,8989,Mental Disorders,0.95
sleep disturbances,8989,Mental Disorders,0.6
photophobia,8974,Eye (Vision),0.58
memory loss,8989,Mental Disorders,0.75
ankle tenosynovitis,8991,Musculoskeletal - Ankle,0.91
neurapraxia thumb dominant,8995,Musculoskeletal - Hand,0.77
post traumatic stress disorder ptsd claimed anxiety depression,9010,Post Traumatic Stress Disorder (PTSD) Combat - Mental Disorders,0.63
flat feet,8994,Musculoskeletal - Foot,0.19
insomnia,8989,Mental Disorders,0.95
radiculopathy sciatic nerve lower extremity,9006,Neurological - Cranial/Peripheral Nerves,0.83
radiculopathy sciatic nerve lower extremity,9006,Neurological - Cranial/Peripheral Nerves,0.83
radiculopathy femoral nerve lower extremity,9006,Neurological - Cranial/Peripheral Nerves,0.79
radiculopathy femoral nerve lower extremity,9006,Neurological - Cranial/Peripheral Nerves,0.79
thoracic scoliosis,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.93
pelvic,8996,Musculoskeletal - Hip,0.36
chest,8979,Heart/Veins/Arteries,0.49
other specified trauma stressor related disorder subclinical posttraumatic stress disorder,8989,Mental Disorders,0.95
alcohol disorder,8989,Mental Disorders,0.81
mental health,8989,Mental Disorders,0.93
medial compartmental osteoarthritis knee osteoarthritis knee,8997,Musculoskeletal - Knee,0.98
upper cervical radiculopathy,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.81
upper cervical radiculopathy,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.81
cervical strain spinal stenosis,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.94
smc,9017,Special Monthly Compensation - Aid and Attendance/Housebound,0.65
seizure disorder,9007,Neurological other System,0.72
knee patellofemoral syndrome claimed,8997,Musculoskeletal - Knee,0.99
anxiety disorder not otherwise specified,8989,Mental Disorders,0.97
insomnia,8989,Mental Disorders,0.95
knee patellofemoral syndrome,8997,Musculoskeletal - Knee,1.0
knee patellofemoral syndrome,8997,Musculoskeletal - Knee,1.0
intervertebral disc syndrome spinal stenosis claimed mid lower back spondyiosis ddd,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
gastroparesis,8989,Mental Disorders,0.1
peripheral neuropathy lower extremity,9006,Neurological - Cranial/Peripheral Nerves,0.8
peripheral neuropathy lower extremity,9006,Neurological - Cranial/Peripheral Nerves,0.8
peripheral neuropathy upper extremity dominant claimed recurrent numbness fingers,9006,Neurological - Cranial/Peripheral Nerves,0.81
peripheral neuropathy upper extremity claimed recurrent numbness fingers,9006,Neurological - Cranial/Peripheral Nerves,0.76
,8989,Mental Disorders,0.1
hypothiroidism,8989,Mental Disorders,0.1
post traumatic stress disorder ptsd previously rated other specified trauma stressor related disorder claimed somatic symptom disorder,8989,Mental Disorders,0.64
gastroesophageal reflux disease gerd claimed ulcers,8968,Digestive,0.99
obstructive sleep apnea cpap include bronchitis,9012,Respiratory,1.0
plantar fasciitis foot degenerative arthritis heel spurs,8994,Musculoskeletal - Foot,1.0
tinea pedis claimed athletes feet include onychomycosis,9016,Skin,0.95
ulnar neuropathy claimed carpal tunnel syndrome,9006,Neurological - Cranial/Peripheral Nerves,0.84
gmd weapon lubricant exposure,9012,Respiratory,0.35
fuel exposure jp,9012,Respiratory,0.26
ankle tarsal tunnel syndrome lower extremity sciatic radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.91
ankle tarsal tunnel syndrome lower extremity sciatic radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.91
pre diabetes,8973,Endocrine,0.97
groin,8975,Genitourinary,0.35
cervical disc bulge,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.76
sciatica paralysis,9006,Neurological - Cranial/Peripheral Nerves,0.63
lumbar disc disease radiculopathy,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.95
lumbar,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.76
lumbar disc disease,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.94
lumbar radiculopathy,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.64
dermatitis face,9016,Skin,0.98
insomnia,8989,Mental Disorders,0.95
frost bite nose,9012,Respiratory,0.42
tinea versicolor,9016,Skin,0.91
individual unemployability iu,8989,Mental Disorders,0.18
rated percent ptsd eligible individual unemployability iu,8989,Mental Disorders,0.2
earlier effective date posttraumatic stress disorder rated,9010,Post Traumatic Stress Disorder (PTSD) Combat - Mental Disorders,0.25
individual unemployability iu decision date december,8989,Mental Disorders,0.13
posttraumatic stress disorder,9010,Post Traumatic Stress Disorder (PTSD) Combat - Mental Disorders,0.44
insomnia,8989,Mental Disorders,0.95
allergic rhinitus,9012,Respiratory,0.93
back strain,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.97
back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
eye irritation,8974,Eye (Vision),0.98
fatigue syndrome cfs fibromyalgia,9007,Neurological other System,0.52
carpal tunnel,9006,Neurological - Cranial/Peripheral Nerves,0.67
hiatal hernia iheartburn chest,8968,Digestive,0.62
muscle tension,9005,Musculoskeletal and Muscle Injuries,0.29
spondylolisthesis,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.38
sciatica lumbar radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.6
insomia,8989,Mental Disorders,0.1
vertigo menieres disease,8969,Ear Disease and Other Sense Organs,0.79
individual unemployability iu,8989,Mental Disorders,0.18
rated percent ptsd eligible individual unemployability iu,8989,Mental Disorders,0.2
earlier effective date posttraumatic stress disorder rated,9010,Post Traumatic Stress Disorder (PTSD) Combat - Mental Disorders,0.25
individual unemployability iu decision date december,8989,Mental Disorders,0.13
posttraumatic stress disorder,9010,Post Traumatic Stress Disorder (PTSD) Combat - Mental Disorders,0.44
mental,8989,Mental Disorders,0.96
fatigue,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",0.52
bronchial asthma,9012,Respiratory,0.98
muscle joint,9005,Musculoskeletal and Muscle Injuries,0.6
allergic rhinitis sleep disorder compatible sleep apnea,9012,Respiratory,1.0
osteoarthritis thumb,8995,Musculoskeletal - Hand,0.88
radiculopathy sciatic nerve lower extremity,9006,Neurological - Cranial/Peripheral Nerves,0.83
radiculopathy sciatic nerve lower extremity,9006,Neurological - Cranial/Peripheral Nerves,0.83
ring finger,8995,Musculoskeletal - Hand,0.85
diverticulosis,8968,Digestive,0.75
periodontal disease loss tooth implants,8967,Dental and Oral,0.98
ppd converter,8989,Mental Disorders,0.1
tinea versicolor,9016,Skin,0.91
elbow ganglion cyst removal unspecified,8993,Musculoskeletal - Elbow,0.19
perforated ear drum,8969,Ear Disease and Other Sense Organs,0.89
patella femoral syndrome probable meniscus tear knee degenerative arthritis shin splint,8997,Musculoskeletal - Knee,1.0
hearing loss ear,3140,Hearing Loss,1.0
unspecified anxiety disorder,8989,Mental Disorders,0.99
palpitations,8989,Mental Disorders,0.1
monoarthopathy hip,8996,Musculoskeletal - Hip,1.0
primary sclerosing cholangitis,8989,Mental Disorders,0.17
diarrhea,8968,Digestive,0.94
constipation,8968,Digestive,0.93
sacroiliac joint,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.62
vaginal conditions,8978,Gynecological,0.66
stress,8989,Mental Disorders,0.83
nausea,8968,Digestive,0.77
dizziness,8969,Ear Disease and Other Sense Organs,0.63
foot degenerative joint disease,8994,Musculoskeletal - Foot,0.73
foot hallux valgus,8994,Musculoskeletal - Foot,0.99
foot degenerative joint disease,8994,Musculoskeletal - Foot,0.73
knee instability status post meniscal tear,8997,Musculoskeletal - Knee,0.99
degenerative arthritis lumbar spine,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.86
radiculopathy lower extremity sciatic nerve,9006,Neurological - Cranial/Peripheral Nerves,0.83
both feet heels between toes on both feet,8989,Mental Disorders,0.1
skin patches,9016,Skin,0.93
thoracolumbar degenerative joint disease intervertebral disc syndrome,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.82
glaucoma optic neuropathy visual field loss,8974,Eye (Vision),0.99
tension headaches,9007,Neurological other System,0.49
insomnia disorder,8989,Mental Disorders,0.98
hip injury,8996,Musculoskeletal - Hip,0.98
hearing loss ear,3140,Hearing Loss,1.0
pinky deformity,8995,Musculoskeletal - Hand,0.34
cauliflower ear deformity ear hematoma,8969,Ear Disease and Other Sense Organs,0.54
ankle sprain status post brostrom procedure claimed ankle ligament sprain surgery residual,8991,Musculoskeletal - Ankle,0.99
mononeuritis multiplex lower extremity,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.47
patellofemoral syndrome claimed knee,8997,Musculoskeletal - Knee,0.99
rhinit,8989,Mental Disorders,0.1
hip adductor tightness both legs prevents from crossing legs bringing them close together,8996,Musculoskeletal - Hip,0.87
pitted keratolysis both hands feet,8989,Mental Disorders,0.1
insomnia,8989,Mental Disorders,0.95
neck strain tightness neck,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.96
restless leg syndrome,8988,Leg Condition - Neurological other System,0.47
acquired pes planus plantar fasciitis,8994,Musculoskeletal - Foot,0.99
shoulder arthritis sleeping am woken multiple times,8992,Musculoskeletal - Arthritis,0.33
cubital tunnel syndrome,9006,Neurological - Cranial/Peripheral Nerves,0.47
cystic pancreatic neoplasm,8968,Digestive,0.19
infrarenal aortic aneurysm,8979,Heart/Veins/Arteries,0.55
mental disorder include anxiety depression,8989,Mental Disorders,0.93
gastritis nsaid,8968,Digestive,0.95
antalgic gait,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.08
degenerative disk disease cervical spine,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.83
degenerative arthritis spine,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.42
insomnia,8989,Mental Disorders,0.95
auricular cartilage,8997,Musculoskeletal - Knee,0.2
lower extremity radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.45
acute sinusitis,9012,Respiratory,0.92
other specified trauma stressor related disorder adjustment disorder depressed mood,8989,Mental Disorders,1.0
common headaches,9007,Neurological other System,0.2
bruxism teeth grinding,8967,Dental and Oral,0.7
nerve leg,8988,Leg Condition - Neurological other System,0.62
sciatica lower back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.92
upper nasal respiratory problems,9012,Respiratory,1.0
leg ulcers,8988,Leg Condition - Neurological other System,0.46
renal kidney failure,8975,Genitourinary,0.86
vertigo secondary,8969,Ear Disease and Other Sense Organs,0.59
low testosterone,8975,Genitourinary,0.64
seasonal allergies environmental allergies,9012,Respiratory,0.18
pruritis ani,8968,Digestive,0.42
hip joint,8996,Musculoskeletal - Hip,0.98
scarring on groin area,9013,Scars (Extremities and Trunk),0.28
insomnia,8989,Mental Disorders,0.95
low testosterone,8975,Genitourinary,0.64
infertility,8975,Genitourinary,0.42
adhd,8989,Mental Disorders,0.9
panic attacks,8989,Mental Disorders,0.92
suicidal thoughts,8989,Mental Disorders,0.83
insomnia,8989,Mental Disorders,0.95
degenerative discs lower back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
monoclonal gammopathy,8979,Heart/Veins/Arteries,0.21
cold agglutinin disease,8943,Cold Injury Residuals,0.29
liver enzyme alterations,8968,Digestive,0.75
precancerous adenomas colon,8968,Digestive,0.76
hyperlipidemia,8979,Heart/Veins/Arteries,0.57
dysfunctional uterine bleeding,8978,Gynecological,0.43
gestational hypertension,8979,Heart/Veins/Arteries,0.98
premature birth,8979,Heart/Veins/Arteries,0.19
infertility,8975,Genitourinary,0.42
knee patellofemoral syndrome,8997,Musculoskeletal - Knee,1.0
knee patellofemoral syndrome,8997,Musculoskeletal - Knee,1.0
pelvic gynecological,8978,Gynecological,0.93
recurrent vaginal infections,8978,Gynecological,0.56
post traumatic stress disorder recurrent depressive disorder,8989,Mental Disorders,0.62
ptsd anxiety palpitations racing heart beat,8989,Mental Disorders,0.49
tissue damage groin from mrsa removal,8975,Genitourinary,0.19
adjustment disorder mixed anxiety depressed mood,8989,Mental Disorders,0.99
achilles tinnitus,3140,Hearing Loss,0.36
foot fifth metatarsal head resection,8994,Musculoskeletal - Foot,0.63
foot fifth metatarsal head resection,8994,Musculoskeletal - Foot,0.63
obstructive sleep apnea,9012,Respiratory,0.99
pes planus flat feet,8994,Musculoskeletal - Foot,0.75
cholesterol,8979,Heart/Veins/Arteries,0.38
sciatica,9006,Neurological - Cranial/Peripheral Nerves,0.69
claustrophobia,8989,Mental Disorders,0.59
back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
alcohol disorder,8989,Mental Disorders,0.81
hand injury,8995,Musculoskeletal - Hand,0.89
gulf war syndrome,8968,Digestive,0.13
sterile,8989,Mental Disorders,0.1
shoulder arthropathy tendon on mri,9002,Musculoskeletal - Shoulder,0.72
foot arthritis,8994,Musculoskeletal - Foot,0.82
gulf war syndrome,8968,Digestive,0.13
loose stool gulf war deploymet,8968,Digestive,0.62
xerosis dry skin dermatitis gulf war deployment,9016,Skin,0.98
tension headaches claimed migraines,9007,Neurological other System,0.5
arteriosclerotic heart disease coronary artery disease,8979,Heart/Veins/Arteries,0.99
ear hearing loss,3140,Hearing Loss,1.0
gastro problems from ptsd,8968,Digestive,0.63
clubbed fingers,8989,Mental Disorders,0.1
dry cough,9012,Respiratory,0.9
paranoia,8989,Mental Disorders,0.73
lumbar degenerative disc disease spinal stenosis,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.97
lower extremity radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.45
lower extremity radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.45
functional diarrhea ibs,8968,Digestive,0.99
degenerative arthritis neck,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.82
fuel exposure,9012,Respiratory,0.26
knee patellofemoral syndrome,8997,Musculoskeletal - Knee,1.0
hip adductor tightness both legs prevents from crossing legs bringing them close together,8996,Musculoskeletal - Hip,0.87
pitted keratolysis both hands feet,8989,Mental Disorders,0.1
insomnia,8989,Mental Disorders,0.95
neck strain tightness neck,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.96
restless leg syndrome,8988,Leg Condition - Neurological other System,0.47
acquired pes planus plantar fasciitis,8994,Musculoskeletal - Foot,0.99
shoulder arthritis sleeping am woken multiple times,8992,Musculoskeletal - Arthritis,0.33
cubital tunnel syndrome,9006,Neurological - Cranial/Peripheral Nerves,0.47
both ankles walking standing sitting,9012,Respiratory,0.11
both knees walking standing sitting,9012,Respiratory,0.11
hips issues walking sitting standing,9012,Respiratory,0.11
back midback ribcage sitting standing lying down,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
cervical spine bone spur impingement sitting standing lying down numbness going down arm,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.22
hypertension high blood,8979,Heart/Veins/Arteries,0.99
gout hips knees ankles,8992,Musculoskeletal - Arthritis,0.54
sleep apnea snoring,9012,Respiratory,1.0
tinnitus ringing ears,3140,Hearing Loss,0.98
status post inguinal hernia repair residual groin,8968,Digestive,0.75
groin scar post surgery,9013,Scars (Extremities and Trunk),0.86
gastrointestinal reflux disease,8968,Digestive,0.99
nephrolthiasis,8989,Mental Disorders,0.1
depression attention deficit hyperactivity borderline personality disorder,8989,Mental Disorders,0.97
nicotine addiction,8989,Mental Disorders,0.1
military sexual trauma,8989,Mental Disorders,0.46
hypoxemia,8989,Mental Disorders,0.1
difficulty staying on feet more hours time,8989,Mental Disorders,0.32
range motion,9001,Musculoskeletal - Other,0.17
numbness,9006,Neurological - Cranial/Peripheral Nerves,0.52
reoccurring open wound,9016,Skin,0.13
joint,9001,Musculoskeletal - Other,0.29
posttraumatic stress disorder,9010,Post Traumatic Stress Disorder (PTSD) Combat - Mental Disorders,0.44
temporomandibular joint disorder,249481,Dental and Oral - Musculoskeletal,0.74
back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
jaw surgery,8967,Dental and Oral,0.42
hairline receding,8989,Mental Disorders,0.1
hamstring sprain,9005,Musculoskeletal and Muscle Injuries,0.32
allergies,8989,Mental Disorders,0.1
vertigo,8969,Ear Disease and Other Sense Organs,0.83
knee stress fracture tibial plateau,8997,Musculoskeletal - Knee,0.93
hip femoroacetabular impingement fai osteoarthritis limitation flexion,8996,Musculoskeletal - Hip,1.0
hip femoroacetabular impingement fai osteoarthritis limitation extension,8996,Musculoskeletal - Hip,1.0
fatigue,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",0.52
bursitis neck,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.8
insomnia,8989,Mental Disorders,0.95
tinea versacolor,9016,Skin,0.85
migraines headaches increase,3140,Hearing Loss,0.09
irritable bowel syndrome ibs increase,8968,Digestive,0.99
gerd gastroesophageal reflux disease increase,8968,Digestive,0.99
migraines including migraine variants,9007,Neurological other System,0.69
multisymptom illness cmi gulf war syndrome,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",0.27
irritable bowel syndrome ibs gulf war presumptive,8968,Digestive,0.96
l l l l lumbar paraaspirals,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.76
sural sensory superficial peroneal sensory nerves,9006,Neurological - Cranial/Peripheral Nerves,0.24
lateral medial plantar mixed nerves,8994,Musculoskeletal - Foot,0.24
perineal motor nerve,9007,Neurological other System,0.5
lateral plantar motor nerve,9007,Neurological other System,0.44
idiopathic progressive neuropathy neuralgia neuritis lower back,9006,Neurological - Cranial/Peripheral Nerves,0.64
idiopathic progressive neuropathy legs feet,9007,Neurological other System,0.4
neuralgia neuritis legs feet,9006,Neurological - Cranial/Peripheral Nerves,0.67
knee strain limitation flexion,8997,Musculoskeletal - Knee,0.99
night terrors,8989,Mental Disorders,0.66
forgetfullnes,8989,Mental Disorders,0.1
weight loss,8968,Digestive,0.25
fatigue,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",0.52
insomnia,8989,Mental Disorders,0.95
intercostal,8989,Mental Disorders,0.1
back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
stomach diarrhea,8968,Digestive,0.99
benign growth endocrine system,8973,Endocrine,0.27
cartilage semilunar dislocated episodes locking effusion into join swelling,8997,Musculoskeletal - Knee,0.28
vertigo,8969,Ear Disease and Other Sense Organs,0.83
leg shin splints previously rated shin splints claimed tibia fracture,8997,Musculoskeletal - Knee,0.83
leg shin splints previously rated shin splints claimed tibia fracture,8997,Musculoskeletal - Knee,0.83
nightmares,8989,Mental Disorders,0.1
knees bone spurs bone on bone,249482,Musculoskeletal - Bones,0.63
knee arthritis severe,8997,Musculoskeletal - Knee,0.77
knee spurs,8997,Musculoskeletal - Knee,1.0
neurapathy,8989,Mental Disorders,0.1
gallbladder hardening,8968,Digestive,0.72
flat feet,8994,Musculoskeletal - Foot,0.19
cramping legs,8968,Digestive,0.09
cramping fingers arms,8968,Digestive,0.09
emphyzema,8989,Mental Disorders,0.1
tremors,8989,Mental Disorders,0.1
high cholesterol,8979,Heart/Veins/Arteries,0.64
coronary artery disease nehmer,8979,Heart/Veins/Arteries,0.92
primary open angle glaucoma,8974,Eye (Vision),0.71
coronary artery disease atherosclerotic heart disease status post cabg claimed heart surgery,8979,Heart/Veins/Arteries,0.99
sleep loss,8989,Mental Disorders,0.79
constipation,8968,Digestive,0.93
